"study_id","short_name","t1","t2","TE","seTE","outcome_scale"
"TOPCOAT_2014","TOPCOAT","ST","AC",-1.19507255485567,1.64771709589662,"log OR for major bleeding; negative favours t2 over t1"
"ULTIMA_2014","ULTIMA","USCDT","AC",0.0333364202675917,2.01660238776281,"log OR for major bleeding; negative favours t2 over t1"
"PEITHO_2014","PEITHO","ST","AC",-1.65900725142602,0.323821314294118,"log OR for major bleeding; negative favours t2 over t1"
"CANARY_2022","CANARY","CDT","AC",-1.07733489022082,1.64597225814705,"log OR for major bleeding; negative favours t2 over t1"
"PEERLESS_2025","PEERLESS","LBAT","CDT",-0.00781253973679362,0.33626741903706,"log OR for major bleeding; negative favours t2 over t1"
"STORM_PE_2025","STORM-PE","CAT","AC",-0.122602322092332,1.4286251781575,"log OR for major bleeding; negative favours t2 over t1"
"HI_PEITHO_2026","HI-PEITHO","USCDT","AC",-0.322263259535202,0.472787654419023,"log OR for major bleeding; negative favours t2 over t1"
"MAPPET3_2002","MAPPET-3","ST","AC",1.4812627190101,1.10275373748607,"log OR for major bleeding; negative favours t2 over t1"
"CDT_PILOT_2022","EuroIntervention pilot CDT","CDT","AC",0.083381608939051,2.04131245078727,"log OR for major bleeding; negative favours t2 over t1"
"FASULLO_2011","Fasullo 2011","ST","AC",-0.664159643686693,1.24819196972153,"log OR for major bleeding; negative favours t2 over t1"
"SINHA_2017","Sinha 2017","ST","AC",0.0953101798043249,1.43098821543969,"log OR for major bleeding; negative favours t2 over t1"
"ZHANG_2018","Zhang 2018","ST","AC",0,2.01487009321626,"log OR for major bleeding; negative favours t2 over t1"
"AHMED_2018","Ahmed 2018","ST","AC",-0.151230969723924,2.01888683333882,"log OR for major bleeding; negative favours t2 over t1"
