study_id,short_name,node,arm_label,n,baseline_mean,baseline_sd,early_timepoint,early_followup_mean,early_followup_sd,early_change_reduction_mean,early_change_reduction_sd,long_term_timepoint,long_term_value,rv_recovery_event_n,rv_recovery_total_n,measure,analysis_status,conversion_needed,source_note,mean,sd,treat,studlab
ULTIMA_2014,ULTIMA,USCDT,USAT/USCDT + UFH,30,1.28,0.19,24h,0.99,0.17,0.3,0.2,90d,NA,NA,NA,echocardiographic RV/LV ratio,main_continuous_nma,no,Mean RV/LV ratio from 1.28+/-0.19 to 0.99+/-0.17 at 24h; mean decrease 0.30+/-0.20.,0.3,0.2,USCDT,ULTIMA_2014
ULTIMA_2014,ULTIMA,AC,UFH alone,29,1.2,0.14,24h,1.17,0.2,0.03,0.16,90d,NA,NA,NA,echocardiographic RV/LV ratio,main_continuous_nma,no,Mean RV/LV ratio from 1.20+/-0.14 to 1.17+/-0.20 at 24h; mean decrease 0.03+/-0.16.,0.03,0.16,AC,ULTIMA_2014
SUNSET_sPE_2021,SUNSET sPE,USCDT,USAT/EKOS,40,1.5,0.3,48h,1.2,0.2,0.35,0.34,90d,NA,NA,NA,RV/LV ratio,main_continuous_nma,no,RV/LV 1.5+/-0.3 to 1.2+/-0.2 at 48h; delta 0.35+/-0.34.,0.35,0.34,USCDT,SUNSET_sPE_2021
SUNSET_sPE_2021,SUNSET sPE,CDT,Standard CDT,41,1.7,0.4,48h,1.1,0.2,0.59,0.42,90d,NA,NA,NA,RV/LV ratio,main_continuous_nma,no,RV/LV 1.7+/-0.4 to 1.1+/-0.2 at 48h; delta 0.59+/-0.42.,0.59,0.42,CDT,SUNSET_sPE_2021
PEERLESS_2025,PEERLESS,LBAT,FlowTriever LBMT,274,NA,NA,24h,NA,NA,0.32,0.24,NA,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Mean RV/LV reduction 0.32+/-0.24 at 24h.,0.32,0.24,LBAT,PEERLESS_2025
PEERLESS_2025,PEERLESS,CDT,CDT mixed,276,NA,NA,24h,NA,NA,0.3,0.26,NA,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Mean RV/LV reduction 0.30+/-0.26 at 24h; CDT arm is mixed CDT/USCDT.,0.3,0.26,CDT,PEERLESS_2025
STORM_PE_2025,STORM-PE,CAT,CAVT/Penumbra + AC,47,1.63,0.36,48h,NA,NA,0.52,0.37,90d planned,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37.,0.52,0.37,CAT,STORM_PE_2025
STORM_PE_2025,STORM-PE,AC,AC alone,53,1.56,0.35,48h,NA,NA,0.24,0.4,90d planned,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40.,0.24,0.4,AC,STORM_PE_2025
ZHANG_2018,Zhang 2018,ST,Low-dose rt-PA + LMWH,33,1.26,0.22,24h,0.96,0.18,0.31,0.18,90d,NA,NA,NA,CT RV/LV ratio,main_continuous_nma,no,RV/LV from 1.26+/-0.22 to 0.96+/-0.18 at 24h; mean difference 0.31+/-0.18.,0.31,0.18,ST,ZHANG_2018
ZHANG_2018,Zhang 2018,AC,LMWH,33,1.22,0.19,24h,1.17,0.21,0.04,0.16,90d,NA,NA,NA,CT RV/LV ratio,main_continuous_nma,no,RV/LV from 1.22+/-0.19 to 1.17+/-0.21 at 24h; mean difference 0.04+/-0.16.,0.04,0.16,AC,ZHANG_2018
