outcome,treatment,random_backtransformed_v0.1,random_lower_backtransformed_v0.1,random_upper_backtransformed_v0.1,random_backtransformed_v0.2,random_lower_backtransformed_v0.2,random_upper_backtransformed_v0.2,absolute_change,relative_change_percent
early_RV_LV_reduction_24_48h_MD,CAT,0.279999999999997,0.1290464815878853,0.43095351841210866,0.2799999999999994,-0.03309235439266173,0.5930923543926605,2.4424906541753444e-15,8.659739592076221e-13
early_RV_LV_reduction_24_48h_MD,CDT,0.509999999999998,0.31988473862766054,0.7001152613723355,0.38952839981563636,0.012306148459536148,0.7667506511717366,-0.12047160018436165,-23.621882389090608
early_RV_LV_reduction_24_48h_MD,LBAT,0.5299999999999884,0.33534054490946985,0.7246594550905069,0.4095283998156355,-0.058750337077013326,0.8778071367082843,-0.12047160018435288,-22.730490600821796
early_RV_LV_reduction_24_48h_MD,ST,0.2699999999999972,0.18783003571679305,0.35216996428320135,0.21789700219896427,0.017787666896829063,0.4180063375010995,-0.05210299780103292,-19.297406592975353
early_RV_LV_reduction_24_48h_MD,USCDT,0.26999999999999713,0.17773224371116858,0.3622677562888257,0.14952839981563537,-0.04903215896662286,0.34808895859789357,-0.12047160018436176,-44.61911117939372
major_bleeding_OR,CAT,1.1304347826086962,0.0352222755276599,36.28052925564262,1.1304347826086958,0.04207547405591554,30.371203804699793,-4.440892098500626e-16,-4.440892098500626e-14
major_bleeding_OR,CDT,2.936842105263156,0.06434372236868778,134.0463565633532,2.936842105263157,0.07555641327009496,114.1536658233656,8.881784197001252e-16,2.220446049250313e-14
major_bleeding_OR,LBAT,2.9598761609907096,0.03690454718367125,237.3926130240511,2.9598761609907096,0.04898781083325074,178.83768920032284,0,0
major_bleeding_OR,ST,1.7756950612349256,0.4777089503420235,6.6004477166203355,2.115561914200987,0.7379907374644386,6.064577759058134,0.33986685296606134,19.139933448353318
major_bleeding_OR,USCDT,1.3802480916030533,0.1458868922987058,13.058642653605768,1.9979148055418086,0.47830321942496534,8.345466658163193,0.6176667139387553,44.750412458196735
death_followup_OR,CDT,0.1281296023564067,0.0064344595710218,2.551448931926979,0.1281296023564069,0.006434459566316415,2.5514489337928103,2.220446049250313e-16,1.7763568394002505e-13
death_followup_OR,LBAT,0.06429947077958877,0.00138324917984593,2.988920581175177,0.06429947077958895,0.00138324917826958,2.9889205845813698,1.8041124150158794e-16,2.886579864025407e-13
death_followup_OR,ST,0.781106970467875,0.423170201066147,1.441803080123146,0.9154406979411259,0.5124509736468655,1.6353401877316576,0.1343337274732509,17.19786566400583
death_followup_OR,USCDT,1.2635061809336323,0.3385399070609531,4.715685908692758,0.9390538282722174,0.33614901650313556,2.623307072458686,-0.3244523526614149,-25.678730943893758
